Sample #	Date	Start Time	Aerodynamic Diameter	0.542	0.583	0.626	0.673	0.723	0.777	0.835	0.898	0.965	1.037	1.114	1.197	1.286	1.382	1.486	1.596	1.715	1.843	1.981	2.129	2.288	2.458	2.642	2.839	3.051	3.278	3.523	3.786	4.068	4.371	4.698	5.048	5.425	5.829	6.264	6.732	7.234	7.774	8.354	8.977	9.647	10.37	11.14	11.97	12.86	13.82	14.86	15.96	17.15	18.43	19.81	Event 1	Event 3	Event 4	Dead Time	Inlet Pressure	Total Flow	Sheath Flow	Analog Input Voltage 0	Analog Input Voltage 1	Digital Input Level 0	Digital Input Level 1	Digital Input Level 2	Laser Power	Laser Current	Sheath Pump Voltage	Total Pump Voltage	Box Temperature	Avalanch Photo Diode Temperature	Avalanch Photo Diode Voltage	Status Flags	Median(µm)	Mean(µm)	Geo. Mean(µm)	Mode(µm)	Geo. Std. Dev.	Total Conc.
35	12/12/19	07:36:24	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	988.7	4.96	4	0	0	0	0	0	75	56.1	2.621	2.608	30.1	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
36	12/12/19	07:36:30	Raw Counts	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988.7	4.96	3.99	0	0	0	0	0	75	56.1	2.621	2.61	30.1	26.1	217	0000 0000 0000 0000	0.562705	1.0694	0.930572	0.542469	1.71544	0.0199996(#/cm³)
37	12/12/19	07:36:36	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.97	3.99	0	0	0	0	0	75	56.1	2.626	2.608	30.2	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
38	12/12/19	07:36:42	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	988.4	4.97	3.98	0	0	0	0	0	75	56.1	2.616	2.611	30.2	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
39	12/12/19	07:36:48	Raw Counts	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989.3	4.97	3.98	0	0	0	0	0	75	56.1	2.631	2.607	30.2	26.1	217	0000 0000 0000 0000	0.674042	0.67317	0.67317	0.67317	1	0.0099998(#/cm³)
40	12/12/19	07:36:54	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989.3	4.97	3.98	0	0	0	0	0	75	56.1	2.627	2.606	30.2	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
41	12/12/19	07:37:00	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	988.7	4.96	3.99	0	0	0	0	0	75	56.1	2.619	2.608	30.3	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
42	12/12/19	07:37:06	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.97	4	0	0	0	0	0	75	56.1	2.626	2.608	30.2	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
43	12/12/19	07:37:12	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989.3	4.97	3.99	0	0	0	0	0	75	56.1	2.631	2.605	30.3	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
44	12/12/19	07:37:18	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.96	3.97	0	0	0	0	0	75	56.1	2.622	2.607	30.3	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
45	12/12/19	07:37:24	Raw Counts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	4.97	3.97	0	0	0	0	0	75	56.1	2.628	2.605	30.3	26.1	217	0000 0000 0000 0000	-1.#IND	-1.#IND	-1.#IND	0	-1.#IND	0(#/cm³)
